symbol,datetime,open,high,low,close,volume,amount
920028.BJ,2026-03-20,21.0,22.8,20.28,22.7,361282.65,766533.77
920028.BJ,2026-03-23,20.78,20.8,18.36,18.51,178867.97,350586.66
920028.BJ,2026-03-24,19.5,20.35,18.23,18.9,151400.13,293982.92
920028.BJ,2026-03-25,18.45,18.97,18.01,18.13,140321.34,257349.44
920028.BJ,2026-03-26,18.3,18.7,17.6,17.79,114562.81,207323.4
920028.BJ,2026-03-27,17.87,18.0,17.38,17.56,79788.81,140929.95
920028.BJ,2026-03-30,17.23,17.93,17.02,17.9,80503.25,141274.21
920028.BJ,2026-03-31,17.67,17.78,16.68,16.72,88693.12,152007.97
920028.BJ,2026-04-01,16.95,17.06,16.32,16.55,57183.11,95186.91
920028.BJ,2026-04-02,16.55,17.0,16.3,16.34,47823.95,79263.75
920028.BJ,2026-04-03,16.43,16.48,15.47,15.48,58157.5,91710.06
920028.BJ,2026-04-07,15.4,15.6,15.25,15.54,27564.31,42593.09
920028.BJ,2026-04-08,15.96,15.98,15.65,15.82,43727.64,69174.46
920028.BJ,2026-04-09,15.61,15.65,15.15,15.15,42635.85,65572.85
920028.BJ,2026-04-10,15.36,16.16,15.23,15.56,58737.82,92294.08
920028.BJ,2026-04-13,15.39,16.11,15.3,15.86,45966.57,72417.41
920028.BJ,2026-04-14,15.79,16.27,15.6,15.72,48640.19,77262.89
920028.BJ,2026-04-15,15.78,16.21,15.71,15.83,44759.91,71322.85
920028.BJ,2026-04-16,15.84,15.89,15.35,15.53,43737.06,67697.77
920028.BJ,2026-04-17,15.46,16.66,15.28,16.35,86701.46,138461.32
920028.BJ,2026-04-20,16.31,17.38,16.18,16.66,89866.28,151396.33
920028.BJ,2026-04-21,16.62,16.65,16.06,16.41,45026.24,73354.22
920028.BJ,2026-04-22,16.6,17.28,16.55,16.77,59949.55,101105.07
920028.BJ,2026-04-23,16.77,16.85,16.12,16.19,44318.0,72397.27
920028.BJ,2026-04-24,16.08,17.12,16.06,16.96,74514.12,125142.09
920028.BJ,2026-04-27,16.99,18.46,16.61,17.81,108656.99,193528.05
920028.BJ,2026-04-28,17.56,18.27,17.32,17.7,50687.17,89539.4
920028.BJ,2026-04-29,17.52,17.71,17.08,17.45,43402.93,75205.89
920028.BJ,2026-04-30,17.25,17.83,16.93,17.0,63798.45,110211.17
920028.BJ,2026-06-05,19.26,20.67,19.14,19.72,89874.0,179855.92
920028.BJ,2026-06-08,18.82,20.39,18.13,19.23,44547.0,86603.74
920028.BJ,2026-06-09,19.3,19.7,18.56,18.9,34745.25,65750.7
