symbol,datetime,open,high,low,close,volume,amount
920028.BJ,2026-03-20,21.0,22.8,20.28,22.7,361282.65,766533.77
920028.BJ,2026-03-23,20.78,20.8,18.36,18.51,178867.97,350586.66
920028.BJ,2026-03-24,19.5,20.35,18.23,18.9,151400.13,293982.92
920028.BJ,2026-03-25,18.45,18.97,18.01,18.13,140321.34,257349.44
920028.BJ,2026-03-26,18.3,18.7,17.6,17.79,114562.81,207323.4
920028.BJ,2026-03-27,17.87,18.0,17.38,17.56,79788.81,140929.95
920028.BJ,2026-03-30,17.23,17.93,17.02,17.9,80503.25,141274.21
920028.BJ,2026-03-31,17.67,17.78,16.68,16.72,88693.12,152007.97
920028.BJ,2026-04-01,16.95,17.06,16.32,16.55,57183.11,95186.91
920028.BJ,2026-04-02,16.55,17.0,16.3,16.34,47823.95,79263.75
920028.BJ,2026-04-03,16.43,16.48,15.47,15.48,58157.5,91710.06
920028.BJ,2026-04-07,15.4,15.6,15.25,15.54,27564.31,42593.09
920028.BJ,2026-04-08,15.96,15.98,15.65,15.82,43727.64,69174.46
920028.BJ,2026-04-09,15.61,15.65,15.15,15.15,42635.85,65572.85
920028.BJ,2026-04-10,15.36,16.16,15.23,15.56,58737.82,92294.08
920028.BJ,2026-04-13,15.39,16.11,15.3,15.86,45966.57,72417.41
920028.BJ,2026-04-14,15.79,16.27,15.6,15.72,48640.19,77262.89
920028.BJ,2026-04-15,15.78,16.21,15.71,15.83,44759.91,71322.85
920028.BJ,2026-04-16,15.84,15.89,15.35,15.53,43737.06,67697.77
920028.BJ,2026-04-17,15.46,16.66,15.28,16.35,86701.46,138461.32
920028.BJ,2026-04-20,16.31,17.38,16.18,16.66,89866.28,151396.33
920028.BJ,2026-04-21,16.62,16.65,16.06,16.41,45026.24,73354.22
920028.BJ,2026-04-22,16.6,17.28,16.55,16.77,59949.55,101105.07
920028.BJ,2026-04-23,16.77,16.85,16.12,16.19,44318.0,72397.27
920028.BJ,2026-04-24,16.08,17.12,16.06,16.96,74514.12,125142.09
920028.BJ,2026-04-27,16.99,18.46,16.61,17.81,108656.99,193528.05
920028.BJ,2026-04-28,17.56,18.27,17.32,17.7,50687.17,89539.4
920028.BJ,2026-04-29,17.52,17.71,17.08,17.45,43402.93,75205.89
920028.BJ,2026-04-30,17.25,17.83,16.93,17.0,63798.45,110211.17
920028.BJ,2026-05-06,17.11,17.41,16.8,16.9,46598.29,79500.055
920028.BJ,2026-05-07,16.99,17.26,16.83,16.88,49716.96,84629.441
920028.BJ,2026-05-08,17.08,19.19,16.9,18.9,154033.18,275908.933
920028.BJ,2026-05-11,20.27,21.88,18.9,21.18,224756.1,457036.385
920028.BJ,2026-05-12,20.66,25.33,20.42,23.31,199939.77,456296.447
920028.BJ,2026-05-13,22.2,22.76,21.49,22.25,139589.17,307885.148
920028.BJ,2026-05-14,22.0,23.69,21.98,22.33,108783.3,247950.708
920028.BJ,2026-05-15,22.86,23.68,21.03,21.54,100142.8,223815.628
920028.BJ,2026-05-18,21.05,21.86,20.36,21.76,85063.56,178007.65
920028.BJ,2026-05-19,21.45,21.64,20.6,20.9,63787.14,133701.9
920028.BJ,2026-05-20,21.0,24.88,20.53,23.6,122951.81,278727.169
920028.BJ,2026-05-21,23.6,23.99,21.96,21.96,85576.47,195768.261
920028.BJ,2026-05-22,21.96,23.1,21.22,22.05,55078.39,119825.826
920028.BJ,2026-05-25,22.05,22.09,20.2,20.51,72847.74,151246.79
920028.BJ,2026-05-26,20.58,20.59,18.86,18.91,62171.26,121096.001
920028.BJ,2026-05-27,19.04,19.56,18.15,19.12,52437.79,99040.439
920028.BJ,2026-05-28,18.93,19.19,18.3,18.4,37677.47,70305.238
920028.BJ,2026-05-29,18.66,18.7,17.5,17.55,35150.06,63162.608
920028.BJ,2026-06-01,17.4,17.88,17.29,17.68,28832.74,50614.718
920028.BJ,2026-06-02,17.68,18.37,17.52,18.12,33655.63,60196.567
920028.BJ,2026-06-03,17.94,17.94,16.9,16.9,50920.45,88332.283
920028.BJ,2026-06-04,16.69,20.3,16.63,19.7,99396.37,186060.796
920028.BJ,2026-06-05,19.26,20.67,19.14,19.72,89874.0,179855.92
920028.BJ,2026-06-08,18.82,20.39,18.13,19.23,44547.0,86603.74
920028.BJ,2026-06-09,19.3,19.7,18.56,18.9,34745.25,65750.7
920028.BJ,2026-06-22,19.2,19.55,17.99,18.29,52055.09,95180.00196
920028.BJ,2026-06-29,17.37,17.37,16.77,16.97,19326.54,32782.83357
920028.BJ,2026-06-30,17.17,17.95,16.89,17.8,20570.26,36071.66584
920028.BJ,2026-07-01,18.02,18.02,17.3,17.38,22680.51,39645.53854
920028.BJ,2026-06-23,18.12,18.65,17.91,18.18,-0.6,23862.0,43640710.23
920028.BJ,2026-06-24,17.92,18.16,17.2,17.69,-2.7,35472.0,62843566.68
920028.BJ,2026-06-25,17.65,17.93,17.04,17.26,-2.43,31519.0,54836537.89
920028.BJ,2026-06-26,17.08,17.71,16.86,17.38,0.7,32922.0,56973427.61
920028.BJ,2026-07-02,17.49,17.93,17.17,17.23,19693.15,34466.44543
