trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,7516.75,7577.92,7516.75,7554.29,7431.46,1.65,3393215.0
2026-06-16,7548.78,7564.96,7508.68,7511.35,7554.29,-0.57,3044166.0
2026-06-17,7524.5,7532.17,7402.61,7420.1,7511.35,-1.21,3339473.0
2026-06-18,7487.36,7511.07,7468.32,7500.58,7420.1,1.08,6324162.0
2026-06-22,7500.44,7530.01,7460.01,7472.79,7500.58,-0.37,3673570.0
2026-06-23,7366.51,7424.17,7347.6,7365.46,7472.79,-1.44,3658966.0
2026-06-24,7370.88,7428.06,7336.82,7358.22,7365.46,-0.1,3600977.0
2026-06-25,7404.91,7419.08,7323.5,7357.49,7358.22,-0.01,3563880.0
2026-06-26,7312.74,7392.95,7294.18,7354.02,7357.49,-0.05,5860381.0
2026-06-29,7391.88,7444.32,7348.88,7440.43,7354.02,1.18,3721877.0
2026-06-30,7441.27,7508.29,7438.04,7499.36,7440.43,0.79,3763757.0
2026-07-01,7478.84,7521.81,7449.63,7483.23,7499.36,-0.22,3687283.0
2026-07-02,7495.14,7540.75,7427.55,7483.24,7483.23,0.0,3414979.0
2026-07-06,7506.96,7551.31,7500.97,7537.43,7483.24,0.72,3007566.0
2026-07-07,7516.63,7536.06,7478.63,7503.85,7537.43,-0.45,2991357.0
