trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,,26687.56,26438.77,26683.94,25888.84,3.07,
2026-06-16,,26788.62,26369.39,26376.34,26683.94,-1.15,
2026-06-17,,26511.55,25960.41,26021.66,26376.34,-1.34,
2026-06-18,,26559.74,26188.69,26517.93,26021.66,1.91,
2026-06-22,,26561.12,26125.48,26166.6,26517.93,-1.32,
2026-06-23,,25882.57,25513.26,25587.04,26166.6,-2.21,
2026-06-24,,25840.56,25354.66,25476.64,25587.04,-0.43,
2026-06-25,,25724.78,25123.43,25358.6,25476.64,-0.46,
2026-06-26,,25491.37,25014.96,25297.62,25358.6,-0.24,
2026-06-29,,25834.35,25289.76,25820.14,25297.62,2.07,
2026-06-30,,26253.04,25808.06,26213.72,25820.14,1.52,
2026-07-01,,26238.06,25954.46,26040.03,26213.72,-0.66,
2026-07-02,,26261.09,25630.51,25832.67,26040.03,-0.8,
2026-07-06,25999.61,26209.76,25963.44,26121.16,25832.67,1.1168,782705.0
2026-07-07,25960.13,26010.02,25684.15,25818.69,26121.16,-1.158,824468.0
2026-07-08,25704.66,25896.07,25526.47,25870.65,25818.69,0.2013,793574.0
2026-07-09,25918.31,26215.82,25825.85,26206.89,25870.65,1.2997,731222.0
2026-07-10,26175.54,26301.54,26009.49,26281.61,26206.89,0.2851,709448.0
